book_title,author,ratings,avg_rating,book_image,book_url
Calamity Town / Dragon's teeth,Ellery Queen,277,4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327808194i/1003548.jpg,https://www.goodreads.com/book/show/1003548.Calamity_Town_Dragon_s_teeth
The Magic Goes Away Collection: The Magic Goes Away/The Magic May Return/More Magic,Larry Niven,330,3.90,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348607847i/100361.jpg,https://www.goodreads.com/book/show/100361.The_Magic_Goes_Away_Collection
The Smoke Ring,Larry Niven,"3,670",3.78,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386922036i/100351.jpg,https://www.goodreads.com/book/show/100351.The_Smoke_Ring
The Wench is Dead,Colin Dexter,"4,703",3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1343027194i/1003488.jpg,https://www.goodreads.com/book/show/1003488.The_Wench_is_Dead
Art of Interior Design: Selecting Elements for Distinctive Styles,Suzanne Woloszynska,0,0.00,https://dryofg8nmyqjw.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/10036968-art-of-interior-design
Fallen Angels,Larry Niven,"2,381",3.55,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1429115151i/100364.jpg,https://www.goodreads.com/book/show/100364.Fallen_Angels
The Mote in God's Eye,Larry Niven,"71,044",4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1399490037i/100365.jpg,https://www.goodreads.com/book/show/100365.The_Mote_in_God_s_Eye
Neutron Star,Larry Niven,"12,851",4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387741160i/100366.jpg,https://www.goodreads.com/book/show/100366.Neutron_Star
The Burning City,Larry Niven,976,3.44,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1171467265i/100368.jpg,https://www.goodreads.com/book/show/100368.The_Burning_City
Inferno,Larry Niven,"6,076",3.82,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388270577i/100369.jpg,https://www.goodreads.com/book/show/100369.Inferno
No Exit and Three Other Plays,Jean-Paul Sartre,"29,505",4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348307264i/10037.jpg,https://www.goodreads.com/book/show/10037.No_Exit_and_Three_Other_Plays
"Beauty Pop, Vol. 1",Kiyoko Arai,"18,263",4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1624839224i/1003761.jpg,https://www.goodreads.com/book/show/1003761.Beauty_Pop_Vol_1
Comet in Moominland,Tove Jansson,"20,294",4.24,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389287390i/1003725.jpg,https://www.goodreads.com/book/show/1003725.Comet_in_Moominland
Wizardology,Master Merlin,"4,252",4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1402805702i/100394.jpg,https://www.goodreads.com/book/show/100394.Wizardology
Let It Bleed,S.L. Schmitz,22,4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344179551i/10039957.jpg,https://www.goodreads.com/book/show/10039957-let-it-bleed
The Complete Novels,Flann O'Brien,323,4.45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388296740i/1003981.jpg,https://www.goodreads.com/book/show/1003981.The_Complete_Novels
The Harp of the Grey Rose,Charles de Lint,"1,243",3.78,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347375744i/1003866.jpg,https://www.goodreads.com/book/show/1003866.The_Harp_of_the_Grey_Rose
Silver Pennies: A Collection of Modern Poems for Boys and Girls,Blanche Jennings Thompson,116,4.66,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1565718530i/1003991.jpg,https://www.goodreads.com/book/show/1003991.Silver_Pennies
Epic,Conor Kostick,"6,730",3.96,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546094126i/1003985.jpg,https://www.goodreads.com/book/show/1003985.Epic
Lord Of The Beasts,Susan Krinard,287,3.41,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389273635i/1004085.jpg,https://www.goodreads.com/book/show/1004085.Lord_Of_The_Beasts
A Strange Manuscript found in a Copper Cylinder,James De Mille,920,3.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328811946i/1004057.jpg,https://www.goodreads.com/book/show/1004057.A_Strange_Manuscript_found_in_a_Copper_Cylinder
Discovery,Paula Kennedy,111,3.90,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1307568214i/10041955.jpg,https://www.goodreads.com/book/show/10041955-discovery
A Dog Called Kitty,Bill Wallace,"3,688",4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347423555i/1004183.jpg,https://www.goodreads.com/book/show/1004183.A_Dog_Called_Kitty
A Book Dragon,Donn Kushner,293,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1301631904i/100424.jpg,https://www.goodreads.com/book/show/100424.A_Book_Dragon
The Rage,Richard Lee Byers,"1,363",4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1426088812i/100423.jpg,https://www.goodreads.com/book/show/100423.The_Rage
Poems from Still Waters Running Deep,Emma McClain,173,4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1678896511i/100452497.jpg,https://www.goodreads.com/book/show/100452497-poems-from-still-waters-running-deep
Witch Baby,Francesca Lia Block,"3,896",4.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347846728i/1004350.jpg,https://www.goodreads.com/book/show/1004350.Witch_Baby
The Endlands,Vincent Hobbes,136,3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328328367i/10044191.jpg,https://www.goodreads.com/book/show/10044191-the-endlands
30 Pieces of Silver,Carolyn McCray,"5,629",3.60,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1293477779i/10044193.jpg,https://www.goodreads.com/book/show/10044193-30-pieces-of-silver
Shelby & Shauna Kitt and the Dimensional Holes,P.H.C. Marchesi,53,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1350414811i/10046509.jpg,https://www.goodreads.com/book/show/10046509-shelby-shauna-kitt-and-the-dimensional-holes
Dragon Rider,Cornelia Funke,"84,237",3.99,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328004947i/100464.jpg,https://www.goodreads.com/book/show/100464.Dragon_Rider
